area_name,area_type,ref_period,crime_or_offence,measure_type,value
Midlothian,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,0
West Dunbartonshire,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,5
West Dunbartonshire,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,0
Inverclyde,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,0
Inverclyde,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,1
West Dunbartonshire,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,67
West Dunbartonshire,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,10
West Dunbartonshire,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,124
West Dunbartonshire,Local Authority,2010/2011,crimes-group-1-common-assault,count,1430
Inverclyde,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,7
Inverclyde,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,1
Inverclyde,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,1566
Inverclyde,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,131
Inverclyde,Local Authority,2010/2011,crimes-group-1-common-assault,count,880
Inverclyde,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,161
Inverclyde,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,4
Inverclyde,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,28
West Dunbartonshire,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,902
West Dunbartonshire,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,4
West Dunbartonshire,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,172
West Dunbartonshire,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,212
West Dunbartonshire,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,66
West Dunbartonshire,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,1087
West Dunbartonshire,Local Authority,2010/2011,all-group-6-antisocial-offences,count,3463
West Dunbartonshire,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,2027
West Dunbartonshire,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,139
West Dunbartonshire,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,2029
West Dunbartonshire,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,4
West Dunbartonshire,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,1
West Dunbartonshire,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,133
West Dunbartonshire,Local Authority,2010/2011,all-group-5-crimes-against-society,count,1917
West Dunbartonshire,Local Authority,2010/2011,crimes-group-4-vandalism,count,1767
Inverclyde,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,470
Inverclyde,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,349
Moray,Local Authority,2010/2011,crimes-group-5-crimes-against-public-justice,count,293
Moray,Local Authority,2010/2011,offences-group-6-urinating-etc,count,75
Inverclyde,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,43
Inverclyde,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,19
Inverclyde,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,99
Inverclyde,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,146
Moray,Local Authority,2010/2011,crimes-group-3-theft-from-a-motor-vehicle,count,53
Moray,Local Authority,2010/2011,crimes-group-3-shoplifting,count,408
Moray,Local Authority,2010/2011,crimes-group-3-housebreaking,count,324
Moray,Local Authority,2010/2011,crimes-group-3-theft-by-opening-lockfast-places,count,54
Moray,Local Authority,2010/2011,crimes-group-3-other-dishonesty,count,69
Moray,Local Authority,2010/2011,crimes-group-4-fire-raising,count,49
Moray,Local Authority,2010/2011,crimes-group-3-other-theft,count,871
Moray,Local Authority,2010/2011,crimes-group-3-fraud,count,125
Inverclyde,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,688
Inverclyde,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,103
Inverclyde,Local Authority,2010/2011,all-group-6-antisocial-offences,count,2746
Inverclyde,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,10
Inverclyde,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,41
Inverclyde,Local Authority,2010/2011,crimes-group-4-vandalism,count,1414
Inverclyde,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,135
Inverclyde,Local Authority,2010/2011,all-group-5-crimes-against-society,count,1677
Inverclyde,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,127
Inverclyde,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,230
Inverclyde,Local Authority,2010/2011,offences-group-7-licensing-offences,count,20
