area_name,area_type,ref_period,crime_or_offence,measure_type,value
West Lothian,Local Authority,2006/2007,all-group-2-sexual-crimes,count,243
East Ayrshire,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,74
East Ayrshire,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,0
East Ayrshire,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,20
East Ayrshire,Local Authority,2006/2007,crimes-group-3-housebreaking,count,721
East Ayrshire,Local Authority,2006/2007,crimes-group-2-other-sexual-crimes,count,18
Clackmannanshire,Local Authority,2006/2007,crimes-group-3-shoplifting,count,307
Moray,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,484
Clackmannanshire,Local Authority,2006/2007,crimes-group-3-other-theft,count,640
East Ayrshire,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,277
East Ayrshire,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,94
Moray,Local Authority,2006/2007,offences-group-6-urinating-etc,count,89
West Lothian,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,53
West Lothian,Local Authority,2006/2007,crimes-group-1-robbery,count,68
West Lothian,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,0
West Lothian,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,153
East Ayrshire,Local Authority,2006/2007,all-crimes,count,10195
East Ayrshire,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,1971
Aberdeen City,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,5
South Lanarkshire,Local Authority,2006/2007,all-group-5-crimes-against-society,count,4559
East Ayrshire,Local Authority,2006/2007,all-group-2-sexual-crimes,count,122
East Dunbartonshire,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,140
Clackmannanshire,Local Authority,2006/2007,offences-group-6-urinating-etc,count,46
East Dunbartonshire,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,211
Aberdeen City,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Clackmannanshire,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,586
South Lanarkshire,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,608
South Lanarkshire,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,627
South Lanarkshire,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,4734
East Ayrshire,Local Authority,2006/2007,crimes-group-1-robbery,count,62
East Ayrshire,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,3357
South Lanarkshire,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,333
South Lanarkshire,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,589
South Lanarkshire,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,24
South Lanarkshire,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,1965
Highland,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,452
Highland,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,1915
Highland,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,360
Clackmannanshire,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Clackmannanshire,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,3
Highland,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,4714
Highland,Local Authority,2006/2007,crimes-group-4-vandalism,count,4549
Stirling,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,2752
Highland,Local Authority,2006/2007,all-group-5-crimes-against-society,count,4106
Highland,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,8
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,4
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,80
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,0
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,40
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-1-common-assault,count,2068
Highland,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,4738
Highland,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,5
Highland,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,686
Highland,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,737
East Ayrshire,Local Authority,2006/2007,offences-group-6-urinating-etc,count,198
Highland,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,3
East Ayrshire,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,592
Highland,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,318
Highland,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,7
East Ayrshire,Local Authority,2006/2007,crimes-group-3-other-theft,count,1092
East Ayrshire,Local Authority,2006/2007,crimes-group-3-fraud,count,106
East Ayrshire,Local Authority,2006/2007,crimes-group-3-shoplifting,count,597
East Ayrshire,Local Authority,2006/2007,crimes-group-4-fire-raising,count,111
East Ayrshire,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,101
Stirling,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,0
Stirling,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,43
Highland,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,296
Stirling,Local Authority,2006/2007,crimes-group-1-robbery,count,36
Stirling,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,26
Highland,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,185
Highland,Local Authority,2006/2007,crimes-group-1-common-assault,count,3037
Highland,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Highland,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,31
Falkirk,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,256
Aberdeenshire,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,9
Falkirk,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,2239
Aberdeenshire,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,2628
Falkirk,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,314
Falkirk,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,222
Falkirk,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,300
Falkirk,Local Authority,2006/2007,all-group-5-crimes-against-society,count,2055
Falkirk,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,1
Falkirk,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,608
East Dunbartonshire,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
East Dunbartonshire,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,289
East Dunbartonshire,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,11
East Dunbartonshire,Local Authority,2006/2007,crimes-group-4-vandalism,count,1853
East Dunbartonshire,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,1953
Aberdeenshire,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,481
Stirling,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,132
Aberdeenshire,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,1512
Stirling,Local Authority,2006/2007,crimes-group-2-other-sexual-crimes,count,7
Stirling,Local Authority,2006/2007,crimes-group-3-housebreaking,count,379
Midlothian,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Midlothian,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,1
Midlothian,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,63
South Ayrshire,Local Authority,2006/2007,all-crimes,count,9020
Falkirk,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Midlothian,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Midlothian,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,10
South Ayrshire,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,1750
Midlothian,Local Authority,2006/2007,crimes-group-1-common-assault,count,1258
Midlothian,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,46
Falkirk,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,319
Falkirk,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,3381
Stirling,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,87
Falkirk,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,123
Falkirk,Local Authority,2006/2007,crimes-group-4-vandalism,count,3123
Stirling,Local Authority,2006/2007,crimes-group-3-fraud,count,226
Stirling,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,108
Stirling,Local Authority,2006/2007,crimes-group-3-shoplifting,count,544
Stirling,Local Authority,2006/2007,crimes-group-3-other-theft,count,1137
East Dunbartonshire,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,1045
South Lanarkshire,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,9
East Dunbartonshire,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,4
South Lanarkshire,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,443
South Lanarkshire,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,2
East Dunbartonshire,Local Authority,2006/2007,all-group-5-crimes-against-society,count,695
East Dunbartonshire,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,119
East Dunbartonshire,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,40
East Dunbartonshire,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,260
East Dunbartonshire,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,76
South Lanarkshire,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,7232
South Lanarkshire,Local Authority,2006/2007,crimes-group-4-vandalism,count,6856
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,817
Aberdeen City,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,243
South Lanarkshire,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,139
South Lanarkshire,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,136
South Lanarkshire,Local Authority,2006/2007,crimes-group-1-common-assault,count,3704
South Lanarkshire,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
South Lanarkshire,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,51
Inverclyde,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,33
Inverclyde,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,1
Inverclyde,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,11
Inverclyde,Local Authority,2006/2007,crimes-group-3-housebreaking,count,657
Inverclyde,Local Authority,2006/2007,crimes-group-2-other-sexual-crimes,count,3
Inverclyde,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,1178
Inverclyde,Local Authority,2006/2007,all-group-2-sexual-crimes,count,51
Inverclyde,Local Authority,2006/2007,all-crimes,count,7920
Inverclyde,Local Authority,2006/2007,crimes-group-1-robbery,count,54
Inverclyde,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,2549
Inverclyde,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,106
Inverclyde,Local Authority,2006/2007,crimes-group-4-fire-raising,count,130
Inverclyde,Local Authority,2006/2007,crimes-group-3-fraud,count,133
Inverclyde,Local Authority,2006/2007,offences-group-6-urinating-etc,count,132
Inverclyde,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,448
Inverclyde,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,183
Inverclyde,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,149
Inverclyde,Local Authority,2006/2007,crimes-group-3-other-theft,count,719
Inverclyde,Local Authority,2006/2007,crimes-group-3-shoplifting,count,331
Glasgow City,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,3020
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Scottish Borders,Local Authority,2006/2007,all-group-2-sexual-crimes,count,76
Scottish Borders,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,258
Scottish Borders,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,417
Scottish Borders,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,120
Glasgow City,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,630
Glasgow City,Local Authority,2006/2007,all-group-5-crimes-against-society,count,18525
Glasgow City,Local Authority,2006/2007,crimes-group-4-vandalism,count,17482
Scottish Borders,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,1235
Clackmannanshire,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,1814
Orkney Islands,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,236
Clackmannanshire,Local Authority,2006/2007,crimes-group-4-vandalism,count,1702
Orkney Islands,Local Authority,2006/2007,all-group-2-sexual-crimes,count,19
Clackmannanshire,Local Authority,2006/2007,all-group-5-crimes-against-society,count,1166
Clackmannanshire,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,66
North Ayrshire,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,769
North Ayrshire,Local Authority,2006/2007,offences-group-6-urinating-etc,count,258
North Ayrshire,Local Authority,2006/2007,crimes-group-4-fire-raising,count,104
Orkney Islands,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,120
Orkney Islands,Local Authority,2006/2007,all-crimes,count,611
Scottish Borders,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,119
Scottish Borders,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,2011
Scottish Borders,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Scottish Borders,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,38
Scottish Borders,Local Authority,2006/2007,crimes-group-4-vandalism,count,1909
Scottish Borders,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,57
Scottish Borders,Local Authority,2006/2007,crimes-group-1-common-assault,count,1126
Perth and Kinross,Local Authority,2006/2007,all-group-2-sexual-crimes,count,117
Scottish Borders,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,4
Scottish Borders,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,43
Glasgow City,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,171
Glasgow City,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Glasgow City,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,569
Glasgow City,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,18883
Glasgow City,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,2421
Glasgow City,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,33
Glasgow City,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,4
Scottish Borders,Local Authority,2006/2007,all-group-5-crimes-against-society,count,1216
Glasgow City,Local Authority,2006/2007,crimes-group-1-common-assault,count,13007
Glasgow City,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,2183
South Lanarkshire,Local Authority,2006/2007,crimes-group-1-robbery,count,154
South Lanarkshire,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,8240
South Lanarkshire,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,39
South Lanarkshire,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,4448
South Lanarkshire,Local Authority,2006/2007,all-group-2-sexual-crimes,count,194
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-housebreaking,count,1680
South Lanarkshire,Local Authority,2006/2007,crimes-group-2-other-sexual-crimes,count,7
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,270
South Lanarkshire,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,95
South Lanarkshire,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,2
Scottish Borders,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,4
Scottish Borders,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,1252
Shetland Islands,Local Authority,2006/2007,crimes-group-1-robbery,count,2
Shetland Islands,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,18
Shetland Islands,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,0
Shetland Islands,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,227
Perth and Kinross,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,678
South Lanarkshire,Local Authority,2006/2007,all-crimes,count,24673
Shetland Islands,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,269
Shetland Islands,Local Authority,2006/2007,all-group-2-sexual-crimes,count,24
Orkney Islands,Local Authority,2006/2007,crimes-group-2-other-sexual-crimes,count,4
Orkney Islands,Local Authority,2006/2007,crimes-group-3-housebreaking,count,15
Orkney Islands,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,0
Orkney Islands,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,0
Orkney Islands,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,3
Clackmannanshire,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,169
Orkney Islands,Local Authority,2006/2007,crimes-group-1-robbery,count,1
Clackmannanshire,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,138
Orkney Islands,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,10
Orkney Islands,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,1
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-fraud,count,586
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-other-theft,count,2841
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,197
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,567
South Lanarkshire,Local Authority,2006/2007,crimes-group-3-shoplifting,count,1282
Shetland Islands,Local Authority,2006/2007,all-crimes,count,976
South Lanarkshire,Local Authority,2006/2007,offences-group-6-urinating-etc,count,498
Perth and Kinross,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,72
South Lanarkshire,Local Authority,2006/2007,crimes-group-4-fire-raising,count,237
South Lanarkshire,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,1648
Aberdeenshire,Local Authority,2006/2007,crimes-group-3-fraud,count,233
North Ayrshire,Local Authority,2006/2007,crimes-group-3-other-theft,count,1265
Aberdeenshire,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,126
North Ayrshire,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,118
North Ayrshire,Local Authority,2006/2007,crimes-group-3-fraud,count,101
North Ayrshire,Local Authority,2006/2007,crimes-group-3-shoplifting,count,656
Aberdeenshire,Local Authority,2006/2007,offences-group-6-urinating-etc,count,187
North Ayrshire,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,187
Aberdeenshire,Local Authority,2006/2007,crimes-group-4-fire-raising,count,160
Aberdeenshire,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,568
Shetland Islands,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,68
Shetland Islands,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,41
Midlothian,Local Authority,2006/2007,crimes-group-2-other-sexual-crimes,count,6
Shetland Islands,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,1
Shetland Islands,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,265
Midlothian,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,2553
Midlothian,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,15
Midlothian,Local Authority,2006/2007,crimes-group-1-robbery,count,17
Midlothian,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,0
Midlothian,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,69
Dundee City,Local Authority,2006/2007,offences-group-6-urinating-etc,count,778
Fife,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,2110
Dundee City,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,1743
North Ayrshire,Local Authority,2006/2007,all-crimes,count,12059
Perth and Kinross,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,3531
Dundee City,Local Authority,2006/2007,crimes-group-3-other-theft,count,2441
Dundee City,Local Authority,2006/2007,crimes-group-3-fraud,count,506
Dundee City,Local Authority,2006/2007,crimes-group-3-shoplifting,count,1918
Dundee City,Local Authority,2006/2007,crimes-group-4-fire-raising,count,121
Dundee City,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,319
North Ayrshire,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,2
North Ayrshire,Local Authority,2006/2007,crimes-group-2-other-sexual-crimes,count,17
North Ayrshire,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,117
North Ayrshire,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,139
North Ayrshire,Local Authority,2006/2007,crimes-group-3-housebreaking,count,767
North Ayrshire,Local Authority,2006/2007,all-group-2-sexual-crimes,count,191
North Ayrshire,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,3529
North Ayrshire,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,2601
North Ayrshire,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,28
North Ayrshire,Local Authority,2006/2007,crimes-group-1-robbery,count,76
Shetland Islands,Local Authority,2006/2007,all-group-5-crimes-against-society,count,209
Shetland Islands,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,2
Shetland Islands,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,19
Shetland Islands,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,247
Shetland Islands,Local Authority,2006/2007,crimes-group-4-vandalism,count,235
Clackmannanshire,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,95
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-4-vandalism,count,3025
Clackmannanshire,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,200
Dumfries and Galloway,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,3293
Shetland Islands,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Shetland Islands,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,1
Shetland Islands,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,15
Scottish Borders,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Scottish Borders,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,0
Shetland Islands,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Shetland Islands,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,1
Shetland Islands,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,19
Shetland Islands,Local Authority,2006/2007,crimes-group-1-common-assault,count,194
Shetland Islands,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,15
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,731
Fife,Local Authority,2006/2007,all-group-3-crimes-of-dishonesty,count,14142
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,84
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,159
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,311
Shetland Islands,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,32
Dumfries and Galloway,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,326
Shetland Islands,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,95
Dumfries and Galloway,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,2724
Dumfries and Galloway,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,695
Midlothian,Local Authority,2006/2007,crimes-group-3-other-theft,count,916
Midlothian,Local Authority,2006/2007,crimes-group-3-fraud,count,166
Midlothian,Local Authority,2006/2007,crimes-group-3-shoplifting,count,404
Scottish Borders,Local Authority,2006/2007,all-crimes,count,6528
Midlothian,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,82
Dumfries and Galloway,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,121
Midlothian,Local Authority,2006/2007,crimes-group-3-housebreaking,count,386
Dumfries and Galloway,Local Authority,2006/2007,all-group-5-crimes-against-society,count,2322
Midlothian,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,185
Midlothian,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,87
Fife,Local Authority,2006/2007,all-group-1-non-sexual-crimes-of-violence,count,6287
Falkirk,Local Authority,2006/2007,crimes-group-3-fraud,count,249
Falkirk,Local Authority,2006/2007,crimes-group-3-other-theft,count,1647
Orkney Islands,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,0
Clackmannanshire,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,134
East Dunbartonshire,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,0
East Dunbartonshire,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Clackmannanshire,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,91
Clackmannanshire,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,1025
Falkirk,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,237
Orkney Islands,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
Orkney Islands,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,4
Falkirk,Local Authority,2006/2007,crimes-group-4-fire-raising,count,135
Clackmannanshire,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,0
Orkney Islands,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,4
Orkney Islands,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Orkney Islands,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,1
Orkney Islands,Local Authority,2006/2007,crimes-group-1-common-assault,count,114
Scottish Borders,Local Authority,2006/2007,offences-group-6-urinating-etc,count,40
Clackmannanshire,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,266
South Ayrshire,Local Authority,2006/2007,crimes-group-3-shoplifting,count,573
East Dunbartonshire,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,49
Clackmannanshire,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,7
East Dunbartonshire,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,153
Clackmannanshire,Local Authority,2006/2007,crimes-group-2-sexual-assault,count,41
South Ayrshire,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,178
